培养方向名称,特色与优势,专业类别名称
管道运输,面向石油、天然气、浆体、氢、二氧化碳等流体安全高效输送与储存工艺、设备雷求，重点研究管道高效输送及安全控制、管道智能化、液化天然气储运、天然气水合物储运等理论与技术,油气储运工程
油气储运安全,面向国家能源保障和公共安全发展需求，开展石油、天然气、浆体、氢、二氧化碳等储运领域生产安全和劳动者安全与健康、环境安全等方雨的科学理论与工程技术研究。重点研究储运设施本质安全保障、健康诊断、事故演化与控制、完整性管理等理论与技术,油气储运工程
海洋油气钻采工程,以海洋油气钻采过程中的理论、方法、技术等为研究对象，针对海洋油气井信息与控制、海洋油气并筒简多相流动理论与应用、海洋油气流动保障技术、海洋油气钻采理论与技术和装各、海洋油气钻完井工作液等开展研究，为安全、高效油气钻采提供理论和技术支持。,海洋油气工程
水合物开发理论与技术,以海洋天然气水合物开发过程中的理论、方法、技术等为研究对象，主要针对天然气水合物开发理论、海洋水合物勘探和开采方法、海洋水合物开采的实验和数值模拟技术、海洋水合物开采流动安全保障等开展研究，为海洋水合物藏的安全、高效开采提供理论和技术支持。,海洋油气工程
新能源开发与利用,以太阳能光热光电利用、新型制氢技术和氢气深度净化技术为特色，建立在太阳能、氢能开发与利用等方面的特色和优势。,新能源科学与工程
新能源存储与转化,以太阳能、氢能存储与转化等研究为特色，建立在可再生能源的新型电化学储能技术、新型储氢技术及氢燃料电池等方面的特色和优势。,新能源科学与工程
基础数学,该研究方向主要包括抽象代数、微分几何与拓扑、非线性分析、微分方程基础理论。具体为：有限域上多项式理论、矩阵论：低维流形的几何与拓扑、微分流形上的映射和流形的光滑化定理：非线性泛函分析、微分方程稳定性和定性理论、随机生物数学模型的动力学行为,数学
计算数学,该研究方向主要包括图像处理、科学与工程计算、能源数值模拟，其体为：图像与信号处理及其应用；可应用于石油地质勘探与开发、海洋环境数值建模与同化的数学技术，非常规油藏数值模拟：高性能并行数值计算：数值代数与数值软件；微分方程数值解。,数学
应用数学,该研究方向主要包括复微分方程、复差分方程、偏微分方程理论及其应用。具体为：复方程及其在物理、光学、生物学中的应用：具有实际背景的非线性圆方程、非线性发展方程和分数阶微分方程的理论与应用研究：微分一差分方程亚纯解的存在性以及解的周期性与渐近性。,数学
运筹学与控制论,该研究方向主要包括最优化理论、神经网络理论与方法、模糊系统与推理、进化计算。具体为：稀疏优化及应用、非线性动力系绕的数值优化及应用：偏微分方程的最优控制理论与计算；特征降维、模式识别和数据挖掘的理论与应用研究。,数学
数据科学与信息安全,该研究方向主要包括密码学、编码学、量子信息与量子计算。具体为：序列密码和后量子密码算法的设计与安全性分析、线性编码和量子纠错码的设计与分析、区块链；量子纠缠的检测与判定、局域、隐变量模型与贝尔不等式、量子保密通信安全性分析、量子算法的设计与分析,数学
油气井信息与控制工程,以测控理论、系统工程、计算机、机械原理等理论为基础，主要针对钻并过程中的井眼轨迹控制、钻井信息技术、旋转导向、连续管与自动化钻井随钻测控理论与技术等开展研究工作，为高效闭环控制自动化销井和智能化钻井提供先进的测控手段和理论方法：,油气井工程
油气井岩石力学与工程,以油气钻、采及储层改造过程中涉及到的深部地层为研究对象，主要针对油气井建井过程中涉及到的地层基础力学参数评价、破岩技术、井壁稳定、出砂预测、水力压裂等岩石力学间题开展研究工作，为复杂油气并安全、高产提供基础理论和技术支持,油气井工程
油气井流体力学与工程,以油气钻并、完并和增产改造过程中涉及到的并简流体为研究对象，主要针对油气井工程中涉及到的牛顿流体、非牛顿流体、多相流体、高压射流在井筒中的流动规律及其工程应用开展研究工作，为安全、高效钻井提供基础理论和技术支持,油气井工程
油气井化学与工程,以油气钻完井过程中的井简工作液为研究对象，主要针对工作液化学与流体力学的性能控制、化学处理剂研制与作用机理分析、工作液与环境（压力、温度、地层、流体等)相互作用等开展研究工作，为安全、经济、环保的钻完并并篇工作液提供基础理论和技术支持,油气井工程
岩土工程,本方向涉及地下空间开发利用、能源开采利用、土木工程施工运营过程中的岩土工程问题，包括岩土体本构关系、岩土体改良、水压致裂等方面的应用技术。以能源工程（深部油气开采与储存、海洋能源利用等）中的岩生工程间愿研究为特色。,土木工程
结构工程,本方间涉及土木工程中空间大跨结构及多高层结构理论分析与设计、新型建筑材料研发、材料及结构耐久性段计及评估：油气田地面工程结构分析及设计；装配式建筑结构设计及施工、智能建造及智慧管理等领域，以服务油气田地面结构工程为特色。,土木工程
防灾减灾工程及防护工程,本方向涉及两个领域：工程结构抗震特性、减隔震控制、能源储运设施防灾减灾等地上结构抗震减灾领域：地下工程建设期地质灾害防治、运营期病害修复补强等岩土工程灾害防治领域，以能源储运基础设施的防灾减灾为特色。,土木工程
供热、供燃气、通风及空调工程,本方向涉及天然气、烟道气、氢能、热管理和人工环境营造等方面，在“碳达峰、碳中和”战略下，结合各类能源特点，掌握多能互补、区域能源供应等技术理论，创造绿色低碳环境，以绿色低磺能源高效利用为特色。,土木工程
马克思主义基本原理,本培养方向在马克思主义经典著作和基本原理研究的基础上，聚焦马克思主义人学领域，理论层面围绕马克思人学理论的形成发展、基本特征、终极价值展开研究：应用层面，围绕“人与自然的双重解放”这一现实命题，着重研究马克思主义人学视域下的社会主要矛盾、自然生态思想、文化伦理思想及它的系统科学方法论。,马克思主义理论
马克思主义发展史,本培养方向围绕马克思主义发展的历史过程及其发展和指导实践的历史经验、发展的一般规律和在不同历史阶段上发展的特殊规律，特别是与各国实际相结合而不断发展的规律展开研究。在此基础上，聚焦马克思主义人学视域下的社会发展史和马克思主义基本原理与中华优秀传统文化的“结合史”。,马克思主义理论
马克思主义中国化研究,本培养方向以马克思主义中国化的历史进程为主线，以中国化的马克思主义为主题，研究中国共产党推进马克思主义中国化的历史进程和基本经验，揭示马克思主义中国化的理论成果的主要内容和精神实质，特别注重对党的十八大以来马克思主义中国化最新理论成果、中国共产党话语体系及国际话语权等研究。,马克思主义理论
思想政治教育,本培养方向注重思想政治教育的性质、规律、功能、内容、方法及高校思想政治理论课教学研究，在“时代新人”培育、中华优秀传统文化与新时代思想政治教育的融通研究、新时代中华文化与中国精神研究等方面形成特色和优势。,马克思主义理论
中国近现代史基本问题研究,本培养方向在系统研究中国近现代历史进程及其基本规律基础上，围绕现代国家建设这一近代以来中国革命和建设中的核心问题，在近代中国政党关系，根据地社会组织动员和文化建设及新中国政权结构和大国体制等方面研究优势明显。,马克思主义理论
党的建设,本培养方向在研究马克思主义党的建设基本原理的基础上，致力于阐释党的建设的核心命题、构建党的建设的科学体系、探寻党的建设的基本规律，在党的建设历程及基本经验研究、基层党组织建设和中外马克思主义政党比较研究方面取得了比较丰硕的成果。,马克思主义理论
